aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,115,1
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,75,1
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,40,4
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,210,1
boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,120,1
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,280,1
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,100,1
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,60,4
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,12,4
cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,45,1
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,140,1
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,30,2
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,10,4
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,7
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,14,7
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,17.5,7
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,22,2
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,190,1
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,100,4
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,600,1
dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,30,2
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,35,2
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,320,1
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,180,2
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,0.25,6
frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,14,5
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,120,1
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,550,1
girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,165,1
gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,1.2,6
goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,95,1
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,160,1
gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,54,2
haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,100,4
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,21,1
hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,55,1
hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,41,2
herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,38,4
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,0.9,6
housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,1.1,6
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,40,2
ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,0.8,6
lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,18,2
leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,160,1
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,210,1
lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,50,7
lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,95,1
mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,40,1
mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,14,1
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,69,1
moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,15,6
newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,12,5
octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,200,7
opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,30,1
oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,175,1
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,230,2
parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,24,2
penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,64,2
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,68,2
pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,120,4
piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,45,4
pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,200,3
platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,50,1
polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,55,1
pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,120,1
porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,175,1
puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,155,1
pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,35,1
raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,61,1
reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,185,1
rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,180,2
scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,16,7
seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,16,4
seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,380,1
sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,300,1
seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,135,3
seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,150,7
skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,0.3,2
skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,56,2
slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,35,3
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,15,7
sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,30,4
sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,15,2
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,22,1
starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,12,7
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,120,4
swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,125,2
termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,0.9,6
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,14,5
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,63,3
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,75,3
tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,200,4
vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,8,1
vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,18,1
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,72,2
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,105,1
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,0.9,6
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,75,1
worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,35,7
wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,14,2

